Bartolomé del Hierro,"Hierro, Bartolomé del [Sin match LC]",PER
Moqui,Hopi (Ariz.),LOC
Moquis,Hopi Indians,ORG
Huejotzingo,"Huejotzingo (Puebla, Mexico)",LOC
Antonio de Ibarra,"Ibarra, Antonio de [Sin match LC]",PER
Francisco de Iglesias,"Iglesias, Francisco de [Sin match LC]",PER
islas Marías,Islas Marías (Mexico),LOC
Xalapa,"Jalapa (Veracruz, Mexico)",LOC
Janos,"Janos (Chihuahua, Mexico)",LOC
Presidio de Janos,"Janos (Chihuahua, Mexico)",LOC
Presidio nombrado Janos,"Janos (Chihuahua, Mexico)",LOC
el Jason,jason (Ship) [Sin match LC],MISC
Compa de Jesus,Jesuits,ORG
Compa de Jesús,Jesuits,ORG
Compañía,Jesuits,ORG
Compañía de Jesús,Jesuits,ORG
Jeuricache,"Jeuricache (Sonora, Mexico) [Sin match LC]",LOC
el Jorge,jorge (Ship) [Sin match LC],MISC
Junta del Río del Norte,Junta de los Ríos (Mexico) [Sin match LC],PER
Labrador,Labrador (N.L.),LOC
Laguna de San Pedro,Laguna de San Pedro (Mexico) [Sin match LC],LOC
Conde de Paredes,"Laguna, Tomás Antonio de la Cerda y Aragón, Marqués de la, 1638-1692",PER
Marqués de Cadereira,"Lara y Zúñiga, Rodrigo Pacheco de, Marqués de Cerralvo, -1640",PER
Marqués de Cadereita,"Lara y Zúñiga, Rodrigo Pacheco de, Marqués de Cerralvo, -1640",PER
Marqués de Cerralvo,"Lara y Zúñiga, Rodrigo Pacheco de, Marqués de Cerralvo, -1640",PER
Bartolomé de Lara,"Lara, Bartolomé de [Sin match LC]",PER
Juan Bautista de Lara,"Lara, Juan Bautista de [Sin match LC]",PER
Simón Lazo,"Lazo de la Vega, Simón [Sin match LC]",PER
Gregorio de Leguya,"Leguya, Gregorio de [Sin match LC]",PER
Francisco Joseph de Leizaola,"Leizaola, Francisco Joseph de [Sin match LC]",PER
Alonso de León,"León, Alonso de, approximately 1637-1691",PER
Gonzalo de Limosilla,"Limosilla, Gonzalo de [Sin match LC]",PER
Juan Antonio de Lizárraga,"Lizárraga, Juan Antonio de [Sin match LC]",PER
Ignacio Lizasoáin,"Lizasoáin, Ignacio [Sin match LC]",PER
Juan de Elizalde,"López de Elizalde, Juan [Sin match LC]",PER
Juan López de Elizalde,"López de Elizalde, Juan [Sin match LC]",PER
Francisco López de Gamarra,"López de Gamarra, Francisco [Sin match LC]",PER
Fernando López de Ursino,"López de Ursino, Fernando [Sin match LC]",PER
Manuel López Pintado,"López Pintado, Manuel [Sin match LC]",PER
Joseph López Zapata,"López Zapata, Joseph [Sin match LC]",PER
Juan Bautista López,"López, Juan Bautista [Sin match LC]",PER
Lima,Lima (Perú),
Lima,"Lima, Perú",
Adaes,Los Adaes (Tex.),LOC
Rey Christianísimo,"Louis XIV, King of France, 1638-1715",PER
Jerónimo de Luna,"Luna, Jerónimo de [Sin match LC]",PER
Madria,Madrid (Spain),LOC
Madrid,Madrid (Spain),LOC
Francisco de Madrigal,"Madrigal, Francisco de [Sin match LC]",PER
Manzano,Manzano [Sin match LC],PER
Mapimí,"Mapimí (Durango, Mexico)",LOC
Jacinto Marfil,"Marfil, Jacinto [Sin match LC]",PER
La Reina Gobernadora,"Mariana, Queen, consort of Philip IV, King of Spain, 1634-1696",PER
Reina,"Mariana, Queen, consort of Philip IV, King of Spain, 1634-1696",PER
Reyna,"Mariana, Queen, consort of Philip IV, King of Spain, 1634-1696",PER
Josef Francisco Marín,"Marín, Josef Francisco [Sin match LC]",PER
Mendíbil,"Martínez de Mendíbil, Pedro [Sin match LC]",PER
Mendíbil,"Martínez de Mendíbil, Pedro [Sin match LC]",PER
Mendívil,"Martínez de Mendíbil, Pedro [Sin match LC]",PER
Luis Martínez Hidalgo,"Martínez Hidalgo, Luis [Sin match LC]",PER
Félix Martínez,"Martínez, Félix [Sin match LC]",PER
río Mayo,"Mayo River (Sonora, Mexico) [Sin match LC]",LOC
Mazapil,"Mazapil (Zacatecas, Mexico)",LOC
Ambrosio Melgarejo,"Melgarejo, Ambrosio [Sin match LC]",PER
Antonio de Mena,"Mena, Antonio de [Sin match LC]",PER
Mena,"Mena, Antonio de [Sin match LC]",PER
Antonio Ignacio de Mena,"Mena, Antonio Ignacio de [Sin match LC]",PER
Gabriel Méndez de Tapia,"Méndez de Tapia, Gabriel [Sin match LC]",PER
Antonio Mateo de Mendoza,"Mendoza, Antonio Mateo de [Sin match LC]",PER
Juan de Mendoza,"Mendoza, Juan de [Sin match LC]",PER
Mateo Antonio de Mendoza,"Mendoza, Mateo Antonio de [Sin match LC]",PER
Mateo de Mendoza,"Mendoza, Mateo Antonio de [Sin match LC]",PER
Menocal,"Menocal, Juan Antonio [Sin match LC]",PER
Audiencia de México,Mexico (Viceroyalty). Audiencia de México,ORG
Ciudad de Mexico,Mexico City (Mexico),LOC
Ciudad de México,Mexico City (Mexico),LOC
Michoacán,Michoacán (Mexico),LOC
Juan de Monrroy,"Monroy, Juan de [Sin match LC]",PER
Luis de Monsalve,"Monsalve, Luis de [Sin match LC]",PER
Juan Franco de Montemayor de Cuenca,"Montemayor de Cuenca, Juan Francisco de [Sin match LC]",PER
Monterrey,"Monterrey (Nuevo León, Mexico)",LOC
Pedro de Montesinos,"Montesinos de Lara, Pedro [Sin match LC]",PER
Pedro Montesinos,"Montesinos de Lara, Pedro [Sin match LC]",PER
Luis de Morales,"Morales, Luis de [Sin match LC]",PER
Luis Morales,"Morales, Luis de [Sin match LC]",PER
Luiz de Morales,"Morales, Luis de [Sin match LC]",PER
Ruiz de Morales,"Morales, Luis de [Sin match LC]",PER
Muñoz,"Muñoz, Manuel [Sin match LC]",PER
Francisco Navarro,"Navarro, Francisco [Sin match LC]",PER
Nayarit,Nayarit (Mexico),LOC
Río Nazas,Nazas River (Mexico),LOC
Nueva Francia,"New France (Durango, Mexico)",LOC
Nuevo México,New Mexico,LOC
José de Neyra,"Neyra y Quiroga, José de [Sin match LC]",PER
Josef de Neira y Quiroga,"Neyra y Quiroga, José de [Sin match LC]",PER
Josef de Neyra,"Neyra y Quiroga, José de [Sin match LC]",PER
Mención_original,normalizacion,Categoría
Nueva Andalucía,Nueva Andalucía (Colombia) [Sin match LC],LOC
Nueva Galicia,"Guadalajara (Jalisco, Mexico)",LOC
Nueva Vizcaya,Nueva Vizcaya (Mexico),LOC
León,Nuevo León (Mexico),LOC
Nuevo León,Nuevo León (Mexico),LOC
Reino de León,Nuevo León (Mexico),LOC
Luis Oacpicagigua,"Oacpicagigua, Luis [Sin match LC]",PER
Antonio de Oca,"Oca, Antonio de [Sin match LC]",PER
Juan de Oliván,"Oliván Rebolledo, Juan de [Sin match LC]",PER
Antonio de Olmos Dávila,"Olmos Dávila, Antonio de [Sin match LC]",PER
Orden de Alcántara,Orden de Alcántara,ORG
Orden de San Tiago,Orden de Santiago,ORG
Orden de Santiago,Orden de Santiago,ORG
Juan Felipe de Orozco,"Orozco, Juan Felipe de [Sin match LC]",PER
Thomas,"Ortiz de Landazuri, Tomás [Sin match LC]",PER
Thomas Ortiz de Landazuri,"Ortiz de Landazuri, Tomás [Sin match LC]",PER
Antonio Ortiz de Otálora,"Ortiz de Otálora, Antonio [Sin match LC]",PER
Diego Ortiz Parrilla,"Ortiz Parrilla, Diego, active 18th century",PER
Parrilla,"Ortiz Parrilla, Diego, active 18th century",PER
Ostimuri,Ostimuri (Mexico) [Sin match LC],LOC
